   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.94853,              0.8751,             0.93542,             0.56125,            0.038341,             0.01354,                   0,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.5,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.95068,             0.86769,             0.92966,             0.55488,            0.036982,            0.011912,                   0,             0.00995,             0.01074,              0.9409,             0.00042,              2.9503,                 0.8,             0.08736,              0.0476,             0.51481,              0.9044,             0.87041,                   1,                 0.5,              4.0091,                   0,               0.015,             0.75111,                 0.4,                   0,              0.1096,             0.52742,                   0,                   0,                   0,                 0.5,             0.99546,                   0,                   0,                   3
             0.94152,              0.8756,             0.92971,              0.5513,            0.039826,            0.014032,                   0,             0.00851,             0.01131,              0.9005,             0.00048,               2.143,             0.78501,             0.09888,                0.05,             0.50185,              1.1177,             0.98616,                   1,                 0.5,              4.6521,                   0,             0.01682,             0.71965,                 0.4,                   0,             0.08677,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9086
             0.94909,             0.88078,             0.93849,             0.55153,            0.039254,             0.01109,                   0,              0.0109,             0.01074,              0.9409,             0.00042,              3.1807,             0.69393,             0.08825,             0.05026,             0.47543,              0.9044,              0.8028,                   1,                 0.5,              4.1903,                   0,               0.015,             0.69652,             0.38507,                   0,             0.11054,             0.57696,                   0,                   0,                   0,                 0.5,             0.99546,                   0,                   0,                   3
             0.94853,             0.88149,             0.93644,             0.55298,            0.040629,           0.0098954,                   0,             0.01263,              0.0104,             0.93445,             0.00036,              3.2177,             0.83579,             0.10119,             0.04986,             0.51864,             0.78824,             0.76411,             0.81658,                 0.5,              5.2891,                   0,              0.0184,             0.67739,             0.44541,                   0,             0.10543,             0.57696,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.0639
             0.94498,             0.87832,             0.93137,             0.54908,             0.03455,            0.011338,                   0,             0.01207,             0.01114,             0.90823,             0.00048,              3.1019,             0.69393,              0.0922,             0.04595,             0.50748,              0.9044,             0.88001,              1.0111,                 0.5,              3.3566,                   0,             0.01491,             0.73186,             0.36679,                   0,             0.11884,             0.57696,                   0,                   0,                   0,                 0.5,             0.98498,                   0,                   0,              2.8554
             0.93997,             0.87997,             0.92834,             0.53595,            0.038879,            0.013757,                   0,             0.00989,                0.01,             0.85363,             0.00036,              3.1807,              0.6621,             0.09068,             0.04842,             0.47543,              0.8772,              1.0048,                   1,                 0.5,              4.1903,                   0,             0.01706,             0.69307,              0.3557,                   0,             0.10658,             0.58239,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.5255
             0.94794,             0.87744,             0.93138,             0.55419,            0.039731,            0.011476,                   0,              0.0109,             0.01083,             0.94249,             0.00042,              3.2201,             0.73447,             0.08852,             0.05026,             0.49132,              0.9044,             0.82979,               1.027,                 0.5,              4.2831,                   0,             0.01398,             0.72525,              0.3665,                   0,             0.10804,             0.57818,                   0,                   0,                   0,                 0.5,             0.99546,                   0,                   0,                   3
             0.95073,             0.87638,             0.93578,             0.55609,            0.040438,           0.0099487,                   0,             0.01227,              0.0104,             0.94337,             0.00036,              3.2809,              0.8122,             0.10013,             0.04968,             0.52445,             0.80073,             0.76411,             0.80869,                 0.5,               5.367,                   0,             0.01842,             0.67739,             0.44087,                   0,             0.10792,             0.58851,                   0,                   0,                   0,                 0.5,             0.98524,                   0,                   0,              2.0639
             0.94415,             0.87997,              0.9288,             0.55632,            0.040558,            0.012209,                   0,             0.01084,             0.01206,             0.95418,             0.00042,              2.9099,             0.76283,             0.08846,             0.05267,             0.51961,             0.93299,             0.90856,             0.98337,                 0.5,              4.0091,                   0,             0.01823,             0.75111,                 0.4,                   0,              0.1096,             0.58295,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9408
             0.95078,             0.86158,             0.92904,             0.53117,            0.033552,            0.011119,                   0,             0.01084,             0.01781,             0.84294,             0.00043,              2.9099,             0.74482,             0.11221,             0.04101,             0.51961,              1.0964,             0.95377,             0.70233,                 0.5,              4.7315,                   0,             0.02297,              0.8786,                 0.4,                   0,             0.10453,             0.61276,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.8554
             0.94526,             0.87662,              0.9314,             0.56083,            0.038297,            0.012885,                   0,             0.01084,             0.01248,             0.95055,             0.00031,              3.2342,             0.76283,             0.05146,             0.04973,             0.60999,             0.94532,             0.90856,              1.0886,                 0.5,              4.0091,                   0,             0.01532,                 0.9,             0.38569,                   0,             0.11661,             0.41721,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5372
             0.94169,             0.89072,             0.93121,              0.5572,            0.041676,            0.011209,                   0,             0.01119,             0.01358,             0.95418,             0.00048,              3.3697,             0.77396,             0.09131,             0.05468,             0.48491,             0.96801,             0.90856,             0.93132,                 0.5,              3.5958,                   0,             0.01971,             0.75111,                 0.4,                   0,             0.12783,             0.52459,                   0,                   0,                   0,                 0.5,             0.94996,                   0,                   0,              2.7197
